ts,day,equity,cash,positions_count,buys_today
1771457400.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771457401.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771457923.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459229.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459255.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459272.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459290.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459302.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459312.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459341.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459363.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459376.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459384.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459387.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459391.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459392.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459396.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459398.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459401.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459426.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459430.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459432.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459455.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459456.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459458.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459462.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459471.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459496.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459498.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459503.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459521.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459533.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459536.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459538.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459543.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459548.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459557.000,2026-02-19,1000000.0000,1000000.0000,0,0
1771459561.000,2026-02-19,999900.0000,810000.0000,1,1
1771459565.000,2026-02-19,1000000.0000,810000.0000,1,1
1771459572.000,2026-02-19,999900.0000,810000.0000,1,1
1771459577.000,2026-02-19,1000000.0000,810000.0000,1,1
1771459580.000,2026-02-19,999900.0000,810000.0000,1,1
1771459582.000,2026-02-19,1000000.0000,810000.0000,1,1
1771459583.000,2026-02-19,1000000.0000,810000.0000,1,1
1771459588.000,2026-02-19,1000000.0000,810000.0000,1,1
1771459594.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459597.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459601.000,2026-02-19,1000000.0000,810000.0000,1,1
1771459602.000,2026-02-19,1000000.0000,810000.0000,1,1
1771459606.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459609.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459619.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459631.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459633.000,2026-02-19,1000000.0000,810000.0000,1,1
1771459648.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459651.000,2026-02-19,1000000.0000,810000.0000,1,1
1771459652.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459654.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459675.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459682.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459685.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459690.000,2026-02-19,1000200.0000,810000.0000,1,1
1771459695.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459713.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459721.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459733.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459734.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459735.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459737.000,2026-02-19,1000200.0000,810000.0000,1,1
1771459741.000,2026-02-19,1000200.0000,810000.0000,1,1
1771459750.000,2026-02-19,1000000.0000,810000.0000,1,1
1771459755.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459759.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459764.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459767.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459768.000,2026-02-19,1000100.0000,810000.0000,1,1
1771459777.000,2026-02-19,999900.0000,810000.0000,1,1
1771459791.000,2026-02-19,999700.0000,810000.0000,1,1
1771459792.000,2026-02-19,999600.0000,810000.0000,1,1
1771459795.000,2026-02-19,999600.0000,810000.0000,1,1
1771459804.000,2026-02-19,999600.0000,810000.0000,1,1
1771459813.000,2026-02-19,999700.0000,810000.0000,1,1
1771459816.000,2026-02-19,999600.0000,810000.0000,1,1
1771459823.000,2026-02-19,999600.0000,810000.0000,1,1
1771459829.000,2026-02-19,999600.0000,810000.0000,1,1
1771459833.000,2026-02-19,999600.0000,810000.0000,1,1
1771459834.000,2026-02-19,999600.0000,810000.0000,1,1
1771459865.000,2026-02-19,998900.0000,810000.0000,1,1
1771459890.000,2026-02-19,999400.0000,810000.0000,1,1
1771459891.000,2026-02-19,999300.0000,810000.0000,1,1
1771459897.000,2026-02-19,999100.0000,810000.0000,1,1
1771459905.000,2026-02-19,999100.0000,810000.0000,1,1
1771459911.000,2026-02-19,999100.0000,810000.0000,1,1
1771459914.000,2026-02-19,999100.0000,810000.0000,1,1
1771459916.000,2026-02-19,999100.0000,810000.0000,1,1
1771459917.000,2026-02-19,999000.0000,810000.0000,1,1
1771459930.000,2026-02-19,998900.0000,810000.0000,1,1
1771459940.000,2026-02-19,999100.0000,810000.0000,1,1
1771459950.000,2026-02-19,999000.0000,810000.0000,1,1
1771459956.000,2026-02-19,999000.0000,810000.0000,1,1
1771459959.000,2026-02-19,999000.0000,810000.0000,1,1
1771459961.000,2026-02-19,999000.0000,810000.0000,1,1
1771459964.000,2026-02-19,998900.0000,810000.0000,1,1
1771459970.000,2026-02-19,999000.0000,810000.0000,1,1
1771459972.000,2026-02-19,999000.0000,810000.0000,1,1
1771459973.000,2026-02-19,999000.0000,810000.0000,1,1
