ts,symbol,session,price,ret,tick_count,trv,imb,spread,dayrise,status,detail
1772082966.000,187660,MID,18040.0000,-0.055,38,33318020,0.500,0.000,0.000,NO_BUY,reject=ret cur=-0.06 thr=0.18 margin=-0.24 relax=0.00 | all=ret cur=-0.06 thr=0.18 margin=-0.24 relax=0.00; ret10 cur=-0.06 thr=0.24 margin=-0.30; ret10_non_positive cur=-0.06
1772082967.000,035420,MID,260250.0000,0.096,29,18981750,0.475,0.192,0.000,NO_BUY,reject=ret cur=0.10 thr=0.18 margin=-0.08 relax=0.00 | all=ret cur=0.10 thr=0.18 margin=-0.08 relax=0.00; ret10 cur=0.10 thr=0.24 margin=-0.14
1772082967.000,002020,MID,71700.0000,0.000,9,11185100,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.00 thr=0.18 margin=-0.18 relax=0.00 | all=ret cur=0.00 thr=0.18 margin=-0.18 relax=0.00; ret10 cur=0.00 thr=0.24 margin=-0.24; ret10_non_positive cur=0.00
1772082968.000,310210,MID,317500.0000,0.157,20,96182000,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.16 thr=0.18 margin=-0.02 relax=0.00 | all=ret cur=0.16 thr=0.18 margin=-0.02 relax=0.00; ret10 cur=0.16 thr=0.24 margin=-0.08
1772082969.000,005830,MID,206000.0000,-0.242,15,106548500,0.116,0.242,0.000,NO_BUY,reject=ret cur=-0.24 thr=0.18 margin=-0.42 relax=0.00 | all=ret cur=-0.24 thr=0.18 margin=-0.42 relax=0.00; ret10 cur=-0.24 thr=0.24 margin=-0.48; ret10_non_positive cur=-0.24
1772082970.000,377300,MID,68800.0000,0.145,20,10329100,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.15 thr=0.18 margin=-0.03 relax=0.00 | all=ret cur=0.15 thr=0.18 margin=-0.03 relax=0.00; ret10 cur=0.15 thr=0.24 margin=-0.09
1772082971.000,086520,MID,184900.0000,-0.108,120,326812750,0.500,0.000,0.000,NO_BUY,reject=ret cur=-0.11 thr=0.18 margin=-0.29 relax=0.00 | all=ret cur=-0.11 thr=0.18 margin=-0.29 relax=0.00; ret10 cur=-0.11 thr=0.24 margin=-0.35; ret10_non_positive cur=-0.11
1772082971.000,115180,MID,34500.0000,0.000,4,1860500,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.00 thr=0.18 margin=-0.18 relax=0.00 | all=ret cur=0.00 thr=0.18 margin=-0.18 relax=0.00; ticks cur=4 thr=5 margin=-1; ret10 cur=0.00 thr=0.24 margin=-0.24; ret10_non_positive cur=0.00
1772082972.000,122630,MID,110115.0000,0.000,68,291263435,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.00 thr=0.18 margin=-0.18 relax=0.00 | all=ret cur=0.00 thr=0.18 margin=-0.18 relax=0.00; ret10 cur=0.00 thr=0.24 margin=-0.24; ret10_non_positive cur=0.00
1772082973.000,229200,MID,20940.0000,0.048,44,467962645,0.350,0.024,0.000,NO_BUY,reject=ret cur=0.05 thr=0.18 margin=-0.13 relax=0.00 | all=ret cur=0.05 thr=0.18 margin=-0.13 relax=0.00; ret10 cur=0.05 thr=0.24 margin=-0.19
1772082975.000,064400,MID,73900.0000,-0.135,7,2292400,0.500,0.000,0.000,NO_BUY,reject=ret cur=-0.14 thr=0.18 margin=-0.32 relax=0.00 | all=ret cur=-0.14 thr=0.18 margin=-0.32 relax=0.00; ret10 cur=-0.14 thr=0.24 margin=-0.38; ret10_non_positive cur=-0.14
