date,equity
2020-01-02,100000000.0
2020-01-03,100000000.0
2020-01-06,100000000.0
2020-01-07,100000000.0
2020-01-08,100000000.0
2020-01-09,100000000.0
2020-01-10,100000000.0
2020-01-13,100000000.0
2020-01-14,100000000.0
2020-01-15,100000000.0
2020-01-16,100000000.0
2020-01-17,100000000.0
2020-01-20,100000000.0
2020-01-21,100000000.0
2020-01-22,100000000.0
2020-01-23,100000000.0
2020-01-28,100000000.0
2020-01-29,100000000.0
2020-01-30,100000000.0
2020-01-31,100000000.0
2020-02-03,100000000.0
2020-02-04,100000000.0
2020-02-05,100000000.0
2020-02-06,100000000.0
2020-02-07,100000000.0
2020-02-10,100000000.0
2020-02-11,100000000.0
2020-02-12,100000000.0
2020-02-13,100000000.0
2020-02-14,100000000.0
2020-02-17,100000000.0
2020-02-18,100000000.0
2020-02-19,100000000.0
2020-02-20,100000000.0
2020-02-21,100000000.0
2020-02-24,100000000.0
2020-02-25,100000000.0
2020-02-26,100000000.0
2020-02-27,100000000.0
2020-02-28,99687495.30234851
2020-03-02,97843985.30234851
2020-03-03,97059210.30234851
2020-03-04,92689930.30234851
2020-03-05,90914910.30234851
2020-03-06,94464950.30234851
2020-03-09,102759205.30234851
2020-03-10,101120945.30234851
2020-03-11,107231000.30234851
2020-03-12,115491010.30234851
2020-03-13,120032175.30234851
2020-03-16,129794565.30234851
2020-03-17,134572585.3023485
2020-03-18,150513960.3023485
2020-03-19,171298985.3023485
2020-03-20,146107795.3023485
2020-03-23,161912850.3023485
2020-03-24,132492440.30234851
2020-03-25,117537790.30234851
2020-03-26,121326665.30234851
2020-03-27,115626450.30234851
2020-03-30,116308710.30234851
2020-03-31,111528467.44518828
2020-04-01,115128467.44518828
2020-04-02,116328467.44518828
2020-04-03,113528467.44518828
2020-04-06,124328467.44518828
2020-04-07,133928467.44518828
2020-04-08,127928467.44518828
2020-04-09,127128467.44518828
2020-04-10,127528467.44518828
2020-04-13,128728467.44518828
2020-04-14,124328467.44518828
2020-04-16,123528467.44518828
2020-04-17,119928467.44518828
2020-04-20,119928467.44518828
2020-04-21,116328467.44518828
2020-04-22,120328467.44518828
2020-04-23,121528467.44518828
2020-04-24,121928467.44518828
2020-04-27,121928467.44518828
2020-04-28,119528467.44518828
2020-04-29,119281880.62518829
2020-05-04,119281880.62518829
2020-05-06,119281880.62518829
2020-05-07,119281880.62518829
2020-05-08,119281880.62518829
2020-05-11,119281880.62518829
2020-05-12,119281880.62518829
2020-05-13,119281880.62518829
2020-05-14,119281880.62518829
2020-05-15,119281880.62518829
2020-05-18,119281880.62518829
2020-05-19,119281880.62518829
2020-05-20,119281880.62518829
2020-05-21,119281880.62518829
2020-05-22,119281880.62518829
2020-05-25,119281880.62518829
2020-05-26,119281880.62518829
2020-05-27,119281880.62518829
2020-05-28,119281880.62518829
2020-05-29,118911009.6511883
2020-06-01,118420509.6511883
2020-06-02,120873009.6511883
2020-06-03,113025009.6511883
2020-06-04,109101009.6511883
2020-06-05,104686509.6511883
2020-06-08,102234009.6511883
2020-06-09,105177009.6511883
2020-06-10,111553509.6511883
2020-06-11,113515509.6511883
2020-06-12,113025009.6511883
2020-06-15,107139009.6511883
2020-06-16,110082009.6511883
2020-06-17,113025009.6511883
2020-06-18,111063009.6511883
2020-06-19,109101009.6511883
2020-06-22,106158009.6511883
2020-06-23,112534509.6511883
2020-06-24,107629509.6511883
2020-06-25,103705509.6511883
2020-06-26,101743509.6511883
2020-06-29,101743509.6511883
2020-06-30,100708407.2068883
2020-07-01,100708407.2068883
2020-07-02,100708407.2068883
2020-07-03,100708407.2068883
2020-07-06,100708407.2068883
2020-07-07,100708407.2068883
2020-07-08,100708407.2068883
2020-07-09,100708407.2068883
2020-07-10,100708407.2068883
2020-07-13,100708407.2068883
2020-07-14,100708407.2068883
2020-07-15,100708407.2068883
2020-07-16,100708407.2068883
2020-07-17,100708407.2068883
2020-07-20,100708407.2068883
2020-07-21,100708407.2068883
2020-07-22,100708407.2068883
2020-07-23,100708407.2068883
2020-07-24,100708407.2068883
2020-07-27,100708407.2068883
2020-07-28,100708407.2068883
2020-07-29,100708407.2068883
2020-07-30,100708407.2068883
2020-07-31,100393687.15060222
2020-08-03,97374174.15060222
2020-08-04,97438639.15060222
2020-08-05,98897106.15060222
2020-08-06,98020473.15060222
2020-08-07,97250890.15060222
2020-08-10,98050588.15060222
2020-08-11,96810456.15060222
2020-08-12,96968090.15060222
2020-08-13,96040873.15060222
2020-08-14,97044554.15060222
2020-08-18,91342676.15060222
2020-08-19,94121974.15060222
2020-08-20,87476645.15060222
2020-08-21,87884611.15060222
2020-08-24,93132174.15060222
2020-08-25,100205467.15060222
2020-08-26,98995450.15060222
2020-08-27,96796104.15060222
2020-08-28,99607399.15060222
2020-08-31,97483026.95522277
2020-09-01,96316581.95522277
2020-09-02,96413503.95522277
2020-09-03,96122737.95522277
2020-09-04,95442029.95522277
2020-09-07,96608474.95522277
2020-09-08,96219659.95522277
2020-09-09,95538951.95522277
2020-09-10,95927766.95522277
2020-09-11,96511552.95522277
2020-09-14,97483026.95522277
2020-09-15,97094211.95522277
2020-09-16,96511552.95522277
2020-09-17,96705396.95522277
2020-09-18,96705396.95522277
2020-09-21,96024688.95522277
2020-09-22,89664139.95522277
2020-09-23,93887642.95522277
2020-09-24,94304631.95522277
2020-09-25,90792867.95522277
2020-09-28,89826484.95522277
2020-09-29,90653659.98548873
2020-10-05,88525819.98548873
2020-10-06,89686459.98548873
2020-10-07,90653659.98548873
2020-10-08,87945499.98548873
2020-10-12,88138939.98548873
2020-10-13,86397979.98548873
2020-10-14,83883259.98548873
2020-10-15,84850459.98548873
2020-10-16,82722619.98548873
2020-10-19,81368539.98548873
2020-10-20,81561979.98548873
2020-10-21,82722619.98548873
2020-10-22,80981659.98548873
2020-10-23,79627579.98548873
2020-10-26,77112859.98548873
2020-10-27,75565339.98548873
2020-10-28,79047259.98548873
2020-10-29,78273499.98548873
2020-10-30,76459557.70642975
2020-11-02,72968157.70642975
2020-11-03,70746357.70642975
2020-11-04,70746357.70642975
2020-11-05,72015957.70642975
2020-11-06,78840057.70642975
2020-11-09,79950957.70642975
2020-11-10,76300857.70642975
2020-11-11,75031257.70642975
2020-11-12,76776957.70642975
2020-11-13,77253057.70642975
2020-11-16,77411757.70642975
2020-11-17,76618257.70642975
2020-11-18,75507357.70642975
2020-11-19,76776957.70642975
2020-11-20,78205257.70642975
2020-11-23,82807557.70642975
2020-11-24,81855357.70642975
2020-11-25,81220557.70642975
2020-11-26,81061857.70642975
2020-11-27,84553257.70642975
2020-11-30,83046916.47593743
2020-12-01,84057610.47593743
2020-12-02,85653635.47593743
2020-12-03,84458078.47593743
2020-12-04,84517935.47593743
2020-12-07,85942524.47593743
2020-12-08,83651325.47593743
2020-12-09,84785082.47593743
2020-12-10,85115155.47593743
2020-12-11,86199165.47593743
2020-12-14,85347584.47593743
2020-12-15,85806828.47593743
2020-12-16,90322556.47593743
2020-12-17,90117914.47593743
2020-12-18,90035992.47593743
2020-12-21,90942698.47593743
2020-12-22,88761518.47593743
2020-12-23,89221159.47593743
2020-12-24,91025620.47593743
2020-12-28,91230491.47593743
2020-12-29,94239317.47593743
2020-12-30,94157039.1416812
2021-01-04,95951887.1416812
2021-01-05,94989518.1416812
2021-01-06,93989355.1416812
