date,equity
2020-01-02,99687788.48952642
2020-01-03,99755868.48952642
2020-01-06,98642438.48952642
2020-01-07,99627216.48952642
2020-01-08,97892852.48952642
2020-01-09,99401370.48952642
2020-01-10,99480546.48952642
2020-01-13,100009864.48952642
2020-01-14,100467468.48952642
2020-01-15,100377422.48952642
2020-01-16,100919106.48952642
2020-01-17,100881028.48952642
2020-01-20,101168154.48952642
2020-01-21,100402242.48952642
2020-01-22,100999958.48952642
2020-01-23,100467932.48952642
2020-01-28,97162136.48952642
2020-01-29,97514214.48952642
2020-01-30,95875366.48952642
2020-01-31,94364748.14446187
2020-02-03,93887242.14446187
2020-02-04,95312764.14446187
2020-02-05,95266439.14446187
2020-02-06,98229144.14446187
2020-02-07,97488286.14446187
2020-02-10,96931534.14446187
2020-02-11,97941100.14446187
2020-02-12,98148151.14446187
2020-02-13,97748804.14446187
2020-02-14,97996925.14446187
2020-02-17,97910575.14446187
2020-02-18,96868560.14446187
2020-02-19,97436043.14446187
2020-02-20,96911084.14446187
2020-02-21,95151065.14446187
2020-02-24,91460455.14446187
2020-02-25,92416284.14446187
2020-02-26,91362640.14446187
2020-02-27,90352088.14446187
2020-02-28,87222823.86631247
2020-03-02,88076176.86631247
2020-03-03,88129175.86631247
2020-03-04,90147829.86631247
2020-03-05,91032176.86631247
2020-03-06,89554082.86631247
2020-03-09,86261890.86631247
2020-03-10,86882562.86631247
2020-03-11,84959778.86631247
2020-03-12,81683894.86631247
2020-03-13,79486365.86631247
2020-03-16,76774377.86631247
2020-03-17,75359008.86631247
2020-03-18,71723083.86631247
2020-03-19,66014246.866312474
2020-03-20,71210569.86631247
2020-03-23,68047551.86631247
2020-03-24,74101582.86631247
2020-03-25,77415239.86631247
2020-03-26,76936461.86631247
2020-03-27,78486634.86631247
2020-03-30,78666080.86631247
2020-03-31,80494858.42525199
2020-04-01,78375779.42525199
2020-04-02,80104852.42525199
2020-04-03,80050582.42525199
2020-04-06,81983431.42525199
2020-04-07,82366472.42525199
2020-04-08,82117091.42525199
2020-04-09,82241100.42525199
2020-04-10,81861188.42525199
2020-04-13,81314268.42525199
2020-04-14,82003933.42525199
2020-04-16,82708708.42525199
2020-04-17,84234974.42525199
2020-04-20,83554703.42525199
2020-04-21,82711945.42525199
2020-04-22,84217935.42525199
2020-04-23,85357360.42525199
2020-04-24,84983636.42525199
2020-04-27,85431604.42525199
2020-04-28,85731431.42525199
2020-04-29,85654180.74897355
2020-05-04,85180372.74897355
2020-05-06,86815363.74897355
2020-05-07,87902807.74897355
2020-05-08,89068764.74897355
2020-05-11,89751758.74897355
2020-05-12,90816566.74897355
