date,equity
2020-01-02,99688165.17623113
2020-01-03,99503489.17623113
2020-01-06,98837441.17623113
2020-01-07,99714141.17623113
2020-01-08,98410680.17623113
2020-01-09,100502242.17623113
2020-01-10,101346621.17623113
2020-01-13,102062846.17623113
2020-01-14,102128416.17623113
2020-01-15,102777763.17623113
2020-01-16,103888903.17623113
2020-01-17,103784694.17623113
2020-01-20,104373838.17623113
2020-01-21,102782635.17623113
2020-01-22,104322376.17623113
2020-01-23,103999148.17623113
2020-01-28,101754980.17623113
2020-01-29,102382452.17623113
2020-01-30,100881444.17623113
2020-01-31,99307398.43844438
2020-02-03,100286327.43844438
2020-02-04,102690829.43844438
2020-02-05,102291574.43844438
2020-02-06,104123264.43844438
2020-02-07,104162843.43844438
2020-02-10,104344192.43844438
2020-02-11,105905429.43844438
2020-02-12,106331049.43844438
2020-02-13,106518387.43844438
2020-02-14,107145664.43844438
2020-02-17,107687398.43844438
2020-02-18,106528379.43844438
2020-02-19,106616668.43844438
2020-02-20,106280484.43844438
2020-02-21,105091535.43844438
2020-02-24,102058942.43844438
2020-02-25,103120951.43844438
2020-02-26,101834158.43844438
2020-02-27,100373402.43844438
2020-02-28,97517365.55360788
2020-03-02,98690476.55360788
2020-03-03,98887419.55360788
2020-03-04,100394728.55360788
2020-03-05,101270124.55360788
2020-03-06,99027870.55360788
2020-03-09,95171711.55360788
2020-03-10,96101394.55360788
2020-03-11,93672313.55360788
2020-03-12,91587230.55360788
2020-03-13,90311785.55360788
2020-03-16,87773908.55360788
2020-03-17,86889433.55360788
2020-03-18,83831620.55360788
2020-03-19,80342503.55360788
2020-03-20,83783001.55360788
2020-03-23,83479579.55360788
2020-03-24,84999754.55360788
2020-03-25,86699114.55360788
2020-03-26,85691635.55360788
2020-03-27,87237684.55360788
2020-03-30,88309146.55360788
2020-03-31,90084237.11977437
2020-04-01,87938327.11977437
2020-04-02,87834492.11977437
2020-04-03,88544095.11977437
2020-04-06,91577064.11977437
2020-04-07,93470686.11977437
2020-04-08,92867793.11977437
2020-04-09,93900865.11977437
2020-04-10,96148343.11977437
2020-04-13,94464718.11977437
2020-04-14,94378237.11977437
2020-04-16,94558770.11977437
2020-04-17,98358119.11977437
2020-04-20,96539332.11977437
2020-04-21,95937687.11977437
2020-04-22,96878017.11977437
2020-04-23,97621759.11977437
2020-04-24,97269611.11977437
2020-04-27,97689183.11977437
2020-04-28,98643703.11977437
2020-04-29,98121844.00736588
2020-05-04,98971773.00736588
2020-05-06,99892989.00736588
2020-05-07,100068414.00736588
2020-05-08,100569278.00736588
2020-05-11,100353101.00736588
2020-05-12,101465127.00736588
2020-05-13,101239564.00736588
2020-05-14,101552732.00736588
2020-05-15,100605737.00736588
2020-05-18,100939535.00736588
2020-05-19,102171662.00736588
2020-05-20,103881617.00736588
2020-05-21,104185357.00736588
2020-05-22,104317202.00736588
2020-05-25,105960248.00736588
2020-05-26,108508699.00736588
2020-05-27,108188429.00736588
2020-05-28,107104413.00736588
2020-05-29,107296118.88972838
2020-06-01,108849572.88972838
2020-06-02,108161596.88972838
2020-06-03,108039041.88972838
2020-06-04,109486308.88972838
2020-06-05,110836718.88972838
2020-06-08,112028352.88972838
2020-06-09,115676558.88972838
2020-06-10,117178971.88972838
2020-06-11,119085347.88972838
2020-06-12,118437958.88972838
2020-06-15,114082828.88972838
2020-06-16,118201890.88972838
2020-06-17,117198761.88972838
2020-06-18,117690298.88972838
2020-06-19,117501087.88972838
2020-06-22,118124004.88972838
2020-06-23,118412287.88972838
2020-06-24,119125281.88972838
2020-06-25,117429738.88972838
2020-06-26,117188764.88972838
2020-06-29,115792470.88972838
2020-06-30,115933258.56604788
2020-07-01,115857196.56604788
2020-07-02,117188465.56604788
2020-07-03,118054115.56604788
2020-07-06,118877951.56604788
2020-07-07,121045008.56604788
2020-07-08,121989903.56604788
2020-07-09,124339043.56604788
2020-07-10,127091916.56604788
2020-07-13,131804298.56604788
2020-07-14,131610106.56604788
2020-07-15,133090931.56604788
2020-07-16,130669309.56604788
2020-07-17,134493221.56604788
2020-07-20,141079731.56604788
2020-07-21,143136732.56604788
2020-07-22,151189730.56604788
2020-07-23,152386193.56604788
2020-07-24,145376993.56604788
2020-07-27,135500137.56604788
2020-07-28,136016153.56604788
2020-07-29,136409957.56604788
2020-07-30,139970305.56604788
2020-07-31,135357802.3631009
2020-08-03,138934968.3631009
2020-08-04,141461704.3631009
2020-08-05,145464677.3631009
2020-08-06,146273979.3631009
2020-08-07,147009591.3631009
2020-08-10,149050094.3631009
2020-08-11,150371959.3631009
2020-08-12,147700282.3631009
2020-08-13,149564347.3631009
2020-08-14,145859975.3631009
2020-08-18,147437530.3631009
2020-08-19,148590276.3631009
2020-08-20,148956333.3631009
2020-08-21,148907116.3631009
2020-08-24,154212239.3631009
2020-08-25,160254496.3631009
2020-08-26,161558992.3631009
2020-08-27,161603807.3631009
2020-08-28,160863365.3631009
2020-08-31,167431217.7494669
2020-09-01,171434556.7494669
2020-09-02,175587940.7494669
2020-09-03,176220957.7494669
2020-09-04,170719143.7494669
2020-09-07,170279508.7494669
2020-09-08,167495458.7494669
2020-09-09,164012278.7494669
2020-09-10,166228669.7494669
2020-09-11,169754121.7494669
2020-09-14,168150622.7494669
2020-09-15,170220401.7494669
2020-09-16,171262233.7494669
2020-09-17,168581786.7494669
2020-09-18,182884275.7494669
2020-09-21,179110427.7494669
2020-09-22,167922297.7494669
2020-09-23,167817627.7494669
2020-09-24,158615003.7494669
2020-09-25,155506115.7494669
2020-09-28,155996100.7494669
2020-09-29,154852791.38287753
2020-10-05,156831894.38287753
2020-10-06,159909563.38287753
2020-10-07,161797730.38287753
2020-10-08,164876101.38287753
2020-10-12,162684805.38287753
2020-10-13,158734972.38287753
2020-10-14,158178269.38287753
2020-10-15,156600711.38287753
2020-10-16,153595320.38287753
2020-10-19,154653939.38287753
2020-10-20,153653830.38287753
2020-10-21,157150867.38287753
2020-10-22,155544660.38287753
2020-10-23,156566536.38287753
2020-10-26,154263455.38287753
2020-10-27,152119319.38287753
2020-10-28,155141500.38287753
2020-10-29,156047079.38287753
2020-10-30,151494608.14438975
2020-11-02,152942798.14438975
2020-11-03,158038274.14438975
2020-11-04,159387679.14438975
2020-11-05,162479745.14438975
2020-11-06,163201459.14438975
2020-11-09,167293986.14438975
2020-11-10,163830086.14438975
2020-11-11,160954516.14438975
2020-11-12,154875919.14438975
2020-11-13,162106414.14438975
2020-11-16,163300746.14438975
2020-11-17,162562323.14438975
2020-11-18,161961782.14438975
2020-11-19,163827071.14438975
2020-11-20,163753136.14438975
2020-11-23,164022052.14438975
2020-11-24,165521890.14438975
2020-11-25,164475697.14438975
2020-11-26,169585294.14438975
2020-11-27,170359650.14438975
2020-11-30,170173049.50994152
2020-12-01,174858638.50994152
2020-12-02,186604627.50994152
2020-12-03,188324090.50994152
2020-12-04,192907556.50994152
2020-12-07,194033788.50994152
2020-12-08,190000146.50994152
2020-12-09,192353704.50994152
2020-12-10,192010591.50994152
2020-12-11,181614844.50994152
2020-12-14,182195926.50994152
2020-12-15,178156985.50994152
2020-12-16,179408205.50994152
2020-12-17,180951744.50994152
2020-12-18,180050876.50994152
2020-12-21,172656171.50994152
2020-12-22,168978274.50994152
2020-12-23,166528388.50994152
2020-12-24,169032097.50994152
2020-12-28,166038574.50994152
2020-12-29,173265552.50994152
2020-12-30,176329247.2758404
2021-01-04,180721450.2758404
2021-01-05,180723565.2758404
2021-01-06,180153063.2758404
2021-01-07,186708959.2758404
2021-01-08,192975745.2758404
2021-01-11,189959449.2758404
2021-01-12,188064177.2758404
2021-01-13,188664175.2758404
2021-01-14,188162219.2758404
2021-01-15,183774568.2758404
2021-01-18,176342446.2758404
2021-01-19,179907669.2758404
2021-01-20,182107929.2758404
2021-01-21,185584138.2758404
2021-01-22,185319096.2758404
2021-01-25,188582694.2758404
2021-01-26,184410893.2758404
2021-01-27,181608546.2758404
2021-01-28,178121140.2758404
2021-01-29,171514300.30276644
2021-02-01,178922232.30276644
2021-02-02,180327157.30276644
2021-02-03,184076050.30276644
2021-02-04,179547699.30276644
2021-02-05,181110402.30276644
2021-02-08,176032370.30276644
2021-02-09,176006919.30276644
2021-02-10,178433094.30276644
2021-02-15,181665001.30276644
2021-02-16,181117270.30276644
2021-02-17,179776695.30276644
2021-02-18,176186247.30276644
2021-02-19,178078218.30276644
2021-02-22,176226372.30276644
2021-02-23,173809428.30276644
2021-02-24,167861202.30276644
2021-02-25,174904950.30276644
2021-02-26,170276723.03698364
2021-03-02,174806665.03698364
2021-03-03,177350303.03698364
2021-03-04,173803523.03698364
2021-03-05,174431768.03698364
2021-03-08,171559859.03698364
2021-03-09,170703601.03698364
2021-03-10,170663677.03698364
2021-03-11,174051047.03698364
2021-03-12,174834289.03698364
2021-03-15,175314777.03698364
2021-03-16,179768027.03698364
2021-03-17,175999282.03698364
2021-03-18,178581330.03698364
2021-03-19,178558617.03698364
2021-03-22,178354288.03698364
2021-03-23,172993373.03698364
2021-03-24,171852846.03698364
2021-03-25,170023898.03698364
2021-03-26,170100554.03698364
2021-03-29,169427063.03698364
2021-03-30,172381591.03698364
2021-03-31,169286899.67026865
2021-04-01,171432637.67026865
2021-04-02,173258742.67026865
2021-04-05,172235242.67026865
2021-04-06,173275333.67026865
2021-04-07,173988566.67026865
2021-04-08,175363573.67026865
2021-04-09,174490358.67026865
2021-04-12,175058390.67026865
2021-04-13,177937875.67026865
2021-04-14,179170560.67026865
2021-04-15,180546665.67026865
2021-04-16,180723951.67026865
2021-04-19,180944721.67026865
2021-04-20,181081635.67026865
2021-04-21,177497990.67026865
2021-04-22,177608242.67026865
2021-04-23,176903346.67026865
2021-04-26,178874582.67026865
2021-04-27,179190271.67026865
2021-04-28,177564087.67026865
2021-04-29,177345337.67026865
2021-04-30,174479314.04033864
2021-05-03,173430250.04033864
2021-05-04,175527302.04033864
2021-05-06,177776241.04033864
2021-05-07,178495595.04033864
2021-05-10,180566307.04033864
2021-05-11,177578542.04033864
2021-05-12,175830921.04033864
2021-05-13,172004531.04033864
2021-05-14,173298274.04033864
2021-05-17,172256854.04033864
2021-05-18,174875665.04033864
2021-05-20,175248092.04033864
2021-05-21,176041438.04033864
2021-05-24,175398199.04033864
2021-05-25,177202647.04033864
2021-05-26,176251789.04033864
2021-05-27,176696305.04033864
2021-05-28,177840753.04033864
2021-05-31,177017303.10869867
2021-06-01,177826064.10869867
2021-06-02,177558354.10869867
2021-06-03,178486703.10869867
2021-06-04,177324777.10869867
2021-06-07,176624134.10869867
2021-06-08,177358358.10869867
2021-06-09,174873022.10869867
2021-06-10,177929135.10869867
2021-06-11,181546592.10869867
2021-06-14,182993539.10869867
2021-06-15,183661170.10869867
2021-06-16,183728597.10869867
2021-06-17,184146331.10869867
2021-06-18,185532520.10869867
2021-06-21,184316298.10869867
2021-06-22,186154524.10869867
2021-06-23,188938081.10869867
2021-06-24,187511167.10869867
